MetroArea,TargetEthnicity,EthnicPop,MetroPop
"Denver-Aurora-Lakewood, CO",Korea,9555,2752056
"Detroit-Warren-Dearborn, MI",Korea,8997,4296731
"Durham-Chapel Hill, NC",Korea,2291,542399
"Grand Rapids-Wyoming, MI",Korea,2383,1028173
"Hartford-West Hartford-East Hartford, CT",Korea,2699,1211826
"Houston-The Woodlands-Sugar Land, TX",Korea,11761,6482592
"Indianapolis-Carmel-Anderson, IN",Korea,2342,1968768
"Jacksonville, FL",Korea,2103,1424097
"Kansas City, MO-KS",Korea,3714,2070147
"Killeen-Temple, TX",Korea,2788,426926
"Las Vegas-Henderson-Paradise, NV",Korea,9676,2070153
"Los Angeles-Long Beach-Anaheim, CA",Korea,220673,13189366
"Madison, WI",Korea,2034,634269
"Miami-Fort Lauderdale-West Palm Beach, FL",Korea,3613,5926955
"Minneapolis-St. Paul-Bloomington, MN-WI",Korea,10738,3488436
"Montgomery, AL",Korea,2104,373963
"Nashville-Davidson--Murfreesboro--Franklin, TN",Korea,3072,1794570
"New York-Newark-Jersey City, NY-NJ-PA",Korea,147913,20031443
"Oklahoma City, OK",Korea,2463,1337075
"Olympia-Tumwater, WA",Korea,2353,266311
"Orlando-Kissimmee-Sanford, FL",Korea,4563,2328508
"Oxnard-Thousand Oaks-Ventura, CA",Korea,2610,843110
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Korea,24745,6047721
"Phoenix-Mesa-Scottsdale, AZ",Korea,7994,4486153
"Pittsburgh, PA",Korea,3286,2354926
"Portland-Vancouver-Hillsboro, OR-WA",Korea,9195,2351319
"Raleigh, NC",Korea,3457,1243720
"Richmond, VA",Korea,2989,1258158
"Riverside-San Bernardino-Ontario, CA",Korea,17973,4430646
"Rochester, NY",Korea,2023,1082226
"Sacramento--Roseville--Arden-Arcade, CA",Korea,7941,2242542
"Salt Lake City, UT",Korea,2410,1154504
"San Antonio-New Braunfels, TX",Korea,2902,2332345
"San Diego-Carlsbad, CA",Korea,15067,3253356
"San Francisco-Oakland-Hayward, CA",Korea,29325,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Korea,21099,1943107
"Seattle-Tacoma-Bellevue, WA",Korea,37651,3671095
"St. Louis, MO-IL",Korea,4198,2803449
"Tampa-St. Petersburg-Clearwater, FL",Korea,4074,2927714
"Trenton, NJ",Korea,2137,371101
"Urban Honolulu, HI",Korea,14790,986999
"Virginia Beach-Norfolk-Newport News, VA-NC",Korea,3937,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Korea,59212,6011752
"Atlanta-Sandy Springs-Roswell, GA",Laos,3860,5612777
"Boston-Cambridge-Newton, MA-NH",Laos,2039,4728844
"Charlotte-Concord-Gastonia, NC-SC",Laos,2313,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Laos,2608,9528396
"Dallas-Fort Worth-Arlington, TX",Laos,5538,6957123
"Denver-Aurora-Lakewood, CO",Laos,2182,2752056
"Fresno, CA",Laos,11918,963160
"Los Angeles-Long Beach-Anaheim, CA",Laos,5293,13189366
"Merced, CA",Laos,2461,265001
"Milwaukee-Waukesha-West Allis, WI",Laos,5133,1571730
"Minneapolis-St. Paul-Bloomington, MN-WI",Laos,23402,3488436
"Nashville-Davidson--Murfreesboro--Franklin, TN",Laos,3792,1794570
"Portland-Vancouver-Hillsboro, OR-WA",Laos,3651,2351319
"Riverside-San Bernardino-Ontario, CA",Laos,2703,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Laos,11907,2242542
"San Diego-Carlsbad, CA",Laos,5170,3253356
"San Francisco-Oakland-Hayward, CA",Laos,5029,4577530
"Seattle-Tacoma-Bellevue, WA",Laos,5400,3671095
"Stockton-Lodi, CA",Laos,3264,714860
"Tampa-St. Petersburg-Clearwater, FL",Laos,2172,2927714
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Laos,2682,6011752
"Albany-Schenectady-Troy, NY",Pakistan,2181,879291
"Atlanta-Sandy Springs-Roswell, GA",Pakistan,9192,5612777
"Austin-Round Rock, TX",Pakistan,3476,1942615
"Baltimore-Columbia-Towson, MD",Pakistan,8409,2780873
"Boston-Cambridge-Newton, MA-NH",Pakistan,3689,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Pakistan,25508,9528396
"Dallas-Fort Worth-Arlington, TX",Pakistan,15679,6957123
"Detroit-Warren-Dearborn, MI",Pakistan,6226,4296731
"Hartford-West Hartford-East Hartford, CT",Pakistan,2266,1211826
"Houston-The Woodlands-Sugar Land, TX",Pakistan,28622,6482592
"Los Angeles-Long Beach-Anaheim, CA",Pakistan,13091,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Pakistan,6087,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Pakistan,78119,20031443
"Orlando-Kissimmee-Sanford, FL",Pakistan,3587,2328508
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pakistan,8262,6047721
"Riverside-San Bernardino-Ontario, CA",Pakistan,4473,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Pakistan,5646,2242542
"San Francisco-Oakland-Hayward, CA",Pakistan,8580,4577530
